transaction_id,date,customer_id,customer_name,region,category,product,units,list_price,discount_pct,discount_amt,pocket_price,revenue,unit_cost,total_cost,margin_pct,status,sales_rep,customer_tier,industry,year,quarter,month
T0001,2023-01-03,C003,Meridian Health,North,Software,CRM Platform,5,8500,4.23,1797.75,8140.45,40702.25,600,3000,92.63,Won,Sarah Chen,Enterprise,Healthcare,2023,Q1,Jan
T0002,2023-01-06,C004,Solaris Energy,West,Hardware,Network Switch,3,950,7.62,217.17,877.61,2632.83,540,1620,38.47,Lost,Tom Walsh,Mid-Market,Energy,2023,Q1,Jan
T0003,2023-01-07,C008,Orion Pharma,East,Hardware,Server Rack,2,6200,5.62,696.88,5851.56,11703.12,4100,8200,29.93,Lost,Aisha Patel,Enterprise,Healthcare,2023,Q1,Jan
T0004,2023-01-17,C020,Polar Biotech,East,Services,Training Package,10,1800,8.27,1488.6,1651.14,16511.4,400,4000,75.77,Won,Aisha Patel,Enterprise,Healthcare,2023,Q1,Jan
T0005,2023-01-30,C020,Polar Biotech,East,Furniture,Desk Pro,1,420,3.46,14.53,405.47,405.47,180,180,55.61,Lost,Aisha Patel,Enterprise,Healthcare,2023,Q1,Jan
T0006,2023-02-01,C002,Horizon Tech,East,Software,ERP Module,2,12000,3.91,938.4,11530.8,23061.6,1200,2400,89.59,Won,Priya Sharma,Enterprise,Technology,2023,Q1,Feb
T0007,2023-02-02,C018,Ember Analytics,North,Furniture,Office Chair,3,180,28.67,154.83,128.39,385.17,80,240,37.69,Won,Emily Foster,SMB,Technology,2023,Q1,Feb
T0008,2023-02-07,C013,Harbor Insurance,East,Hardware,Network Switch,1,950,4.77,45.31,904.69,904.69,540,540,40.31,Won,Aisha Patel,Enterprise,Financial Services,2023,Q1,Feb
T0009,2023-02-07,C006,Nimbus Financial,East,Hardware,Network Switch,1,950,5.62,53.39,896.61,896.61,540,540,39.77,Pending,Priya Sharma,Enterprise,Financial Services,2023,Q1,Feb
T0010,2023-02-08,C002,Horizon Tech,East,Services,Training Package,1,1800,6.32,113.76,1686.24,1686.24,400,400,76.28,Lost,Priya Sharma,Enterprise,Technology,2023,Q1,Feb
T0011,2023-02-09,C014,Quantum Devices,North,Software,BI Dashboard,2,5500,7.26,798.6,5100.7,10201.4,500,1000,90.2,Won,Sarah Chen,Enterprise,Technology,2023,Q1,Feb
T0012,2023-02-10,C002,Horizon Tech,East,Software,CRM Platform,3,8500,3.44,877.2,8207.6,24622.8,600,1800,92.69,Pending,Priya Sharma,Enterprise,Technology,2023,Q1,Feb
T0013,2023-02-12,C003,Meridian Health,North,Software,Security Suite,5,3200,3.05,488.0,3102.4,15512.0,280,1400,90.97,Lost,Sarah Chen,Enterprise,Healthcare,2023,Q1,Feb
T0014,2023-02-15,C012,Delta Aerospace,West,Furniture,Office Chair,1,180,10.69,19.24,160.76,160.76,80,80,50.24,Won,David Evans,Enterprise,Aerospace,2023,Q1,Feb
T0015,2023-02-16,C008,Orion Pharma,East,Software,ERP Module,1,12000,5.98,717.6,11282.4,11282.4,1200,1200,89.36,Won,Aisha Patel,Enterprise,Healthcare,2023,Q1,Feb
T0016,2023-02-17,C015,Redwood Construction,South,Hardware,"Monitor 27""",2,350,8.73,61.1,319.44,638.88,210,420,34.26,Pending,Marco Ruiz,SMB,Construction,2023,Q1,Feb
