transaction_id,date,customer_id,customer_name,region,category,product,units,unit_price,discount_pct,revenue,cost,status,sales_rep
T001,2023-01-05,C042,Acme Corp,North,Electronics,Laptop Pro,2,1200.00,10,2160.00,1600.00,Won,Sarah Chen
T002,2023-01-07,C108,Beta Ltd,South,Furniture,Office Chair,5,180.00,0,900.00,450.00,Won,James Okafor
T003,2023-01-09,C042,Acme Corp,North,Software,Analytics Suite,1,4500.00,15,3825.00,500.00,Won,Sarah Chen
T004,2023-01-12,C217,Gamma Inc,East,Electronics,Monitor 27",3,350.00,5,997.50,630.00,Won,Priya Sharma
T005,2023-01-15,C055,Delta Co,West,Software,CRM Basic,2,1200.00,0,2400.00,240.00,Won,Tom Walsh
T006,2023-01-18,C301,Epsilon LLC,North,Furniture,Standing Desk,1,650.00,0,650.00,390.00,Lost,Sarah Chen
T007,2023-01-20,C108,Beta Ltd,South,Electronics,Laptop Pro,1,1200.00,10,1080.00,800.00,Won,James Okafor
T008,2023-01-22,C412,Zeta Corp,East,Software,Analytics Suite,3,4500.00,20,10800.00,1500.00,Won,Priya Sharma
T009,2023-01-25,C055,Delta Co,West,Electronics,Keyboard,10,85.00,0,850.00,340.00,Won,Tom Walsh
T010,2023-01-28,C042,Acme Corp,North,Software,CRM Pro,1,3600.00,0,3600.00,360.00,Won,Sarah Chen
T011,2023-02-02,C217,Gamma Inc,East,Furniture,Conference Table,1,1200.00,10,1080.00,720.00,Won,Priya Sharma
T012,2023-02-05,C520,Eta Partners,South,Electronics,Monitor 27",2,350.00,0,700.00,420.00,Won,James Okafor
T013,2023-02-07,C301,Epsilon LLC,North,Software,Analytics Suite,1,4500.00,25,3375.00,500.00,Won,Sarah Chen
T014,2023-02-10,C412,Zeta Corp,East,Electronics,Laptop Pro,4,1200.00,15,4080.00,3200.00,Won,Priya Sharma
T015,2023-02-14,C055,Delta Co,West,Furniture,Office Chair,8,180.00,10,1296.00,720.00,Won,Tom Walsh
T016,2023-02-17,C630,Theta Inc,North,Software,CRM Basic,3,1200.00,0,3600.00,360.00,Won,Sarah Chen
T017,2023-02-20,C108,Beta Ltd,South,Electronics,Keyboard,20,85.00,5,1615.00,680.00,Won,James Okafor
T018,2023-02-22,C042,Acme Corp,North,Electronics,Monitor 27",1,350.00,0,350.00,210.00,Lost,Sarah Chen
T019,2023-02-25,C217,Gamma Inc,East,Software,Analytics Suite,2,4500.00,10,8100.00,1000.00,Won,Priya Sharma
T020,2023-02-28,C520,Eta Partners,South,Furniture,Standing Desk,3,650.00,5,1852.50,1170.00,Won,James Okafor
T021,2023-03-03,C412,Zeta Corp,East,Software,CRM Pro,2,3600.00,10,6480.00,720.00,Won,Priya Sharma
T022,2023-03-06,C055,Delta Co,West,Electronics,Laptop Pro,2,1200.00,0,2400.00,1600.00,Won,Tom Walsh
T023,2023-03-09,C301,Epsilon LLC,North,Furniture,Conference Table,2,1200.00,0,2400.00,1440.00,Won,Sarah Chen
T024,2023-03-12,C630,Theta Inc,North,Electronics,Monitor 27",5,350.00,10,1575.00,1050.00,Won,Sarah Chen
T025,2023-03-15,C108,Beta Ltd,South,Software,Analytics Suite,1,4500.00,0,4500.00,500.00,Won,James Okafor
T026,2023-03-18,C042,Acme Corp,North,Electronics,Keyboard,15,85.00,5,1211.25,510.00,Won,Sarah Chen
T027,2023-03-21,C217,Gamma Inc,East,Furniture,Office Chair,10,180.00,15,1530.00,900.00,Won,Priya Sharma
T028,2023-03-24,C520,Eta Partners,South,Software,CRM Basic,2,1200.00,0,2400.00,240.00,Lost,James Okafor
T029,2023-03-27,C412,Zeta Corp,East,Electronics,Laptop Pro,3,1200.00,20,2880.00,2400.00,Won,Priya Sharma
T030,2023-03-30,C055,Delta Co,West,Software,CRM Pro,1,3600.00,5,3420.00,360.00,Won,Tom Walsh
T031,2023-04-04,C301,Epsilon LLC,North,Electronics,Monitor 27",4,350.00,0,1400.00,840.00,Won,Sarah Chen
T032,2023-04-07,C630,Theta Inc,North,Software,Analytics Suite,2,4500.00,15,7650.00,1000.00,Won,Sarah Chen
T033,2023-04-10,C108,Beta Ltd,South,Furniture,Standing Desk,2,650.00,10,1170.00,780.00,Won,James Okafor
T034,2023-04-13,C042,Acme Corp,North,Software,CRM Pro,2,3600.00,10,6480.00,720.00,Won,Sarah Chen
T035,2023-04-16,C217,Gamma Inc,East,Electronics,Keyboard,25,85.00,0,2125.00,850.00,Won,Priya Sharma
T036,2023-04-19,C520,Eta Partners,South,Electronics,Laptop Pro,1,1200.00,0,1200.00,800.00,Won,James Okafor
