transaction_id,date,year,quarter,month,customer,customer_id,customer_tier,industry,region,product,category,units,list_price,discount_pct,discount_amt,pocket_price,revenue,unit_cost,total_cost,margin_pct,sales_rep
T0001,2023-01-03,2023,Q1,Jan,Meridian Health,C003,Enterprise,Healthcare,North,CRM Platform,Software,5,8500,4.23,1797.75,8140.45,40702.25,600,3000,92.63,Sarah Chen
T0004,2023-01-17,2023,Q1,Jan,Polar Biotech,C020,Enterprise,Healthcare,East,Training Package,Services,10,1800,8.27,1488.6,1651.14,16511.4,400,4000,75.77,Aisha Patel
T0006,2023-02-01,2023,Q1,Feb,Horizon Tech,C002,Enterprise,Technology,East,ERP Module,Software,2,12000,3.91,938.4,11530.8,23061.6,1200,2400,89.59,Priya Sharma
T0007,2023-02-02,2023,Q1,Feb,Ember Analytics,C018,SMB,Technology,North,Office Chair,Furniture,3,180,28.67,154.83,128.39,385.17,80,240,37.69,Emily Foster
T0008,2023-02-07,2023,Q1,Feb,Harbor Insurance,C013,Enterprise,Financial Services,East,Network Switch,Hardware,1,950,4.77,45.31,904.69,904.69,540,540,40.31,Aisha Patel
T0011,2023-02-09,2023,Q1,Feb,Quantum Devices,C014,Enterprise,Technology,North,BI Dashboard,Software,2,5500,7.26,798.6,5100.7,10201.4,500,1000,90.2,Sarah Chen
T0014,2023-02-15,2023,Q1,Feb,Delta Aerospace,C012,Enterprise,Aerospace,West,Office Chair,Furniture,1,180,10.69,19.24,160.76,160.76,80,80,50.24,David Evans
T0015,2023-02-16,2023,Q1,Feb,Orion Pharma,C008,Enterprise,Healthcare,East,ERP Module,Software,1,12000,5.98,717.6,11282.4,11282.4,1200,1200,89.36,Aisha Patel
T0017,2023-02-18,2023,Q1,Feb,Horizon Tech,C002,Enterprise,Technology,East,BI Dashboard,Software,2,5500,6.84,752.4,5123.8,10247.6,500,1000,90.24,Priya Sharma
T0020,2023-02-23,2023,Q1,Feb,Horizon Tech,C002,Enterprise,Technology,East,Desk Pro,Furniture,2,420,12.2,102.48,368.76,737.52,180,360,51.19,Priya Sharma
T0021,2023-02-26,2023,Q1,Feb,Cascade Retail,C005,Mid-Market,Retail,South,Training Package,Services,1,1800,8.23,148.14,1651.86,1651.86,400,400,75.78,James Okafor
T0023,2023-03-03,2023,Q1,Mar,Coastline Hotels,C019,Mid-Market,Hospitality,West,Laptop Pro,Hardware,1,1200,2.49,29.88,1170.12,1170.12,800,800,31.63,Tom Walsh
T0025,2023-03-08,2023,Q1,Mar,Horizon Tech,C002,Enterprise,Technology,East,CRM Platform,Software,10,8500,5.98,5083.0,7991.7,79917.0,600,6000,92.49,Priya Sharma
T0026,2023-03-11,2023,Q1,Mar,Ember Analytics,C018,SMB,Technology,North,Office Chair,Furniture,2,180,22.5,81.0,139.5,279.0,80,160,42.65,Emily Foster
T0027,2023-03-11,2023,Q1,Mar,BlueRock Mining,C009,Mid-Market,Mining,West,Headset Pro,Hardware,1,220,7.15,15.73,204.27,204.27,120,120,41.25,Tom Walsh
T0029,2023-03-12,2023,Q1,Mar,Apex Industries,C001,Enterprise,Manufacturing,North,Analytics Suite,Software,3,4500,8.08,1090.8,4136.4,12409.2,500,1500,87.91,Sarah Chen
T0030,2023-03-13,2023,Q1,Mar,Quantum Devices,C014,Enterprise,Technology,North,Analytics Suite,Software,2,4500,11.46,1031.4,3984.3,7968.6,500,1000,87.45,Sarah Chen
T0032,2023-03-16,2023,Q1,Mar,Tidal Software,C016,Mid-Market,Technology,South,Office Chair,Furniture,5,180,8.07,72.65,165.47,827.35,80,400,51.65,James Okafor
T0033,2023-03-17,2023,Q1,Mar,BlueRock Mining,C009,Mid-Market,Mining,West,Security Suite,Software,1,3200,9.22,295.04,2904.96,2904.96,280,280,90.36,Tom Walsh
T0034,2023-03-19,2023,Q1,Mar,Nimbus Financial,C006,Enterprise,Financial Services,East,CRM Platform,Software,10,8500,10.6,9010.0,7599.0,75990.0,600,6000,92.1,Priya Sharma
T0035,2023-03-22,2023,Q1,Mar,Delta Aerospace,C012,Enterprise,Aerospace,West,Training Package,Services,2,1800,27.19,978.84,1310.58,2621.16,400,800,69.48,David Evans
T0038,2023-03-24,2023,Q1,Mar,Delta Aerospace,C012,Enterprise,Aerospace,West,Training Package,Services,5,1800,7.19,647.1,1670.58,8352.9,400,2000,76.06,David Evans
T0039,2023-03-25,2023,Q1,Mar,Meridian Health,C003,Enterprise,Healthcare,North,Training Package,Services,1,1800,11.75,211.5,1588.5,1588.5,400,400,74.82,Sarah Chen
T0041,2023-03-29,2023,Q1,Mar,Quantum Devices,C014,Enterprise,Technology,North,Analytics Suite,Software,3,4500,8.25,1113.75,4128.75,12386.25,500,1500,87.89,Sarah Chen
T0042,2023-04-06,2023,Q2,Apr,Meridian Health,C003,Enterprise,Healthcare,North,Security Suite,Software,5,3200,10.19,1630.4,2873.92,14369.6,280,1400,90.26,Sarah Chen
T0045,2023-04-07,2023,Q2,Apr,Ember Analytics,C018,SMB,Technology,North,"Monitor 27""",Hardware,10,350,22.35,782.3,271.77,2717.7,210,2100,22.73,Emily Foster
T0046,2023-04-12,2023,Q2,Apr,Stratos Media,C010,SMB,Media,North,Mobile Device Mgmt,Software,5,2800,31.17,4363.8,1927.24,9636.2,250,1250,87.03,Emily Foster
T0047,2023-04-12,2023,Q2,Apr,Meridian Health,C003,Enterprise,Healthcare,North,ERP Module,Software,2,12000,10.05,2412.0,10794.0,21588.0,1200,2400,88.88,Sarah Chen
T0048,2023-04-13,2023,Q2,Apr,Redwood Construction,C015,SMB,Construction,South,ERP Module,Software,1,12000,13.56,1627.2,10372.8,10372.8,1200,1200,88.43,Marco Ruiz
T0049,2023-04-13,2023,Q2,Apr,Stratos Media,C010,SMB,Media,North,Office Chair,Furniture,1,180,19.08,34.34,145.66,145.66,80,80,45.08,Emily Foster
